id,incident_id,source_case_type,theme,text,label,source,data_origin,review_reason
inc-MOB-BEN-008:sms-1,inc-MOB-BEN-008,benign_lookalike,가족/지인 사칭 긴급 송금,아빠 나 폰 액정 깨져서 수리 맡겼어. 지금 급하게 송금할 게 있는데 이 번호로 확인하면 문자 좀 줘. http://family-emergency.urgent-pay.example,1,KR-MOB-SMISHING-v1,synthetic,가족 사칭 상황과 급한 대리 송금 요청을 링크로 연결함
inc-MOB-BEN-018:sms-1,inc-MOB-BEN-018,benign_lookalike,가족/지인 사칭 긴급 송금,"엄마, 나 폰 액정 깨져서 수리 맡겼어. 지금 급하게 송금할 데가 있는데 임시폰이라 인증이 안 돼. 여기 링크로 확인하고 연락 좀 줘. http://family-care.support-fix.example/pay",1,KR-MOB-SMISHING-v1,synthetic,가족 사칭 상황과 급한 대리 송금 요청을 링크로 연결함
inc-MOB-BEN-020:sms-1,inc-MOB-BEN-020,benign_lookalike,가족/지인 사칭 긴급 송금,아빠 나 폰 고장나서 수리 맡겼어. 연락 안되니까 이 번호로 답장 줘. 급하게 송금할 데가 있는데 대신 좀 해줄 수 있어? http://k-gov.refund-check.example/loan,1,KR-MOB-SMISHING-v1,synthetic,가족 사칭 상황과 급한 대리 송금 요청을 링크로 연결함
inc-MOB-BEN-050:sms-1,inc-MOB-BEN-050,benign_lookalike,가족/지인 사칭 긴급 송금,엄마 나 휴대폰 액정이 깨져서 수리 맡겼어. 지금 급하게 송금할 곳이 있는데 인증이 안 돼서 그래. 여기 주소로 들어가서 확인 좀 해줘: http://family-help.support-service.example/pay,1,KR-MOB-SMISHING-v1,synthetic,가족 사칭 상황과 급한 대리 송금 요청을 링크로 연결함
inc-MOB-BEN-070:sms-1,inc-MOB-BEN-070,benign_lookalike,가족/지인 사칭 긴급 송금,"엄마, 나 휴대폰 액정 깨져서 수리 맡겼어. 지금 급하게 송금할 데가 있는데 대신 좀 해줄 수 있어? 여기 링크 눌러서 확인해봐. http://emergency-family-help.support-service.example",1,KR-MOB-SMISHING-v1,synthetic,가족 사칭 상황과 급한 대리 송금 요청을 링크로 연결함
inc-MOB-BEN-088:sms-1,inc-MOB-BEN-088,benign_lookalike,가족/지인 사칭 긴급 송금,"엄마, 나 폰 액정 깨져서 수리 맡겼어. 임시번호로 연락해. 급하게 송금할 데가 있는데 대신 좀 해줄 수 있어? 확인하면 여기 링크 눌러서 톡 줘. http://family-sos.alert-service.example",1,KR-MOB-SMISHING-v1,synthetic,가족 사칭 상황과 급한 대리 송금 요청을 링크로 연결함
inc-MOB-BEN-089:sms-1,inc-MOB-BEN-089,benign_lookalike,가족/지인 사칭 긴급 송금,엄마 나 폰 고장나서 수리 맡겼어. 지금 급하게 송금할 게 있는데 이 번호로 연락줘. 확인하면 여기 링크 눌러서 톡해줘: https://family-care.urgent-talk.example,1,KR-MOB-SMISHING-v1,synthetic,가족 사칭 상황과 급한 대리 송금 요청을 링크로 연결함
inc-MOB-MAL-001:sms-1,inc-MOB-MAL-001,malicious,가족/지인 사칭 긴급 송금,아빠 나 폰 액정 깨져서 수리 맡겼어. 지금 급하게 송금할 데가 있는데 대신 좀 해줘. 확인하면 여기로 답장 줘. http://k-gov.refund-check.example/urgent,1,KR-MOB-SMISHING-v1,synthetic,가족 사칭 상황과 급한 대리 송금·결제 요청을 링크로 연결함
inc-MOB-MAL-013:sms-1,inc-MOB-MAL-013,malicious,채용/면접 결과 사칭,"[채용안내] 지원하신 포지션의 최종 합격 소식을 전해드립니다. 서류 제출 기한이 오늘 14시까지이오니, 아래 링크를 통해 본인 인증 후 구비 서류(가족관계증명서 포함)를 업로드해 주시기 바랍니다. 기한 내 미제출 시 합격이 자동 취소됩니다. hxxp://recruit-result.hr-check.example/auth",1,KR-MOB-SMISHING-v1,synthetic,합격 취소 압박과 링크를 통한 본인 인증·가족관계증명서 제출 요구가 결합됨
inc-MOB-MAL-021:sms-1,inc-MOB-MAL-021,malicious,계정 보안 경고 사칭,[계정센터] 비정상 로그인이 감지되어 보안을 위해 계정이 일시 잠금되었습니다. 24시간 내 본인확인 미완료 시 계정이 영구 정지됩니다. 해제하기: https://safety-auth-center.v-account.example/verify,1,KR-MOB-SMISHING-v1,synthetic,24시간 내 인증·조치를 하지 않으면 계정 영구 정지라는 압박과 링크 유도가 결합됨
